cellID,cellType,cellTypeMinor
SM-D9E5P_S74_E1-50,Glutamatergic,L4/5 IT CTX
SM-D9D7X_S16_E1-50,GABAergic,Vip
SM-DAIHC_S19_E1-50,Glutamatergic,L6 CT CTX
SM-DD449_S40_E1-50,GABAergic,Lamp5
LS-15521_S63_E1-50,Glutamatergic,L4/5 IT CTX
SM-DAIG5_S82_E1-50,Glutamatergic,L6b CTX
SM-DAIGW_S94_E1-50,Glutamatergic,L4/5 IT CTX
SM-DAIH5_S64_E1-50,Glutamatergic,L4/5 IT CTX
LS-15534_S60_E12-50,GABAergic,Sncg
SM-GE5PW_S193_E1-50,Glutamatergic,Car3
SM-DAIH7_S73_E1-50,Glutamatergic,L6 IT CTX
SM-D9D86_S43_E1-50,Glutamatergic,L2/3 IT CTX
SM-D9E4M_S18_E1-50,Glutamatergic,L6 IT CTX
SM-GE8XM_S271_E1-50,Glutamatergic,L2/3 IT CTX
SM-D9ER4_S39_E1-50,Glutamatergic,L2/3 IT CTX
