GEP,SM-D9E5P_S74_E1-50,SM-D9D7X_S16_E1-50,SM-DAIHC_S19_E1-50,SM-DD449_S40_E1-50,LS-15521_S63_E1-50,SM-DAIG5_S82_E1-50,SM-DAIGW_S94_E1-50,SM-DAIH5_S64_E1-50,LS-15534_S60_E12-50,SM-GE5PW_S193_E1-50,SM-DAIH7_S73_E1-50,SM-D9D86_S43_E1-50,SM-D9E4M_S18_E1-50,SM-GE8XM_S271_E1-50,SM-D9ER4_S39_E1-50
ACTA2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALDOC,0.0,1022.0,0.0,1.0,105.0,0.0,384.0,150.0,173.0,104.0,0.0,0.0,135.0,19.0,0.0
ANLN,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
APLN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BMP4,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610005C13RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610006L08RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610007P14RIK,93.0,264.0,173.0,85.0,98.0,408.0,123.0,325.0,240.0,101.0,211.0,283.0,87.0,26.0,327.0
0610009B22RIK,275.0,92.0,158.0,245.0,139.0,178.0,89.0,369.0,194.0,23.0,124.0,50.0,160.0,18.0,118.0
0610009E02RIK,0.0,19.0,0.0,0.0,2.0,5.0,0.0,0.0,26.0,0.0,0.0,0.0,9.0,1.0,0.0
0610009L18RIK,0.0,30.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
0610009O20RIK,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,73.0,90.0,4.0,0.0,2.0
0610010B08RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610010F05RIK,2.0,277.0,323.0,540.0,204.0,84.0,263.0,215.0,114.0,51.0,257.0,66.0,584.0,75.0,78.0
0610010K14RIK,1.0,215.0,41.0,39.0,61.0,224.0,21.0,150.0,49.0,31.0,78.0,59.0,62.0,2.0,237.0
0610011F06RIK,430.0,71.0,16.0,107.0,99.0,158.0,335.0,0.0,55.0,7.0,29.0,47.0,80.0,17.0,81.0
0610012G03RIK,264.0,97.0,337.0,227.0,280.0,318.0,441.0,222.0,285.0,35.0,326.0,421.0,191.0,34.0,457.0
0610025J13RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610030E20RIK,0.0,58.0,33.0,65.0,65.0,62.0,0.0,0.0,13.0,0.0,151.0,0.0,0.0,4.0,0.0
0610031O16RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610037L13RIK,84.0,168.0,128.0,65.0,48.0,154.0,222.0,224.0,229.0,11.0,123.0,89.0,120.0,44.0,343.0
0610038B21RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0610039H22RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610039K10RIK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0610040B10RIK,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,11.0,0.0
0610040F04RIK,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0610040J01RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610043K17RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0
1010001N08RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100001I12RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
